rank,sample_id,eval_token_index,channel,tile_id,tile_offset,activation,quantized_activation,reconstruction_error,abs_reconstruction_error,nearest_centroid
22,30,2841,56,14,0,-5.625,1.1680748462677002,-6.793074607849121,6.793074607849121,36
23,94,8889,56,14,0,-5.75,1.0429129600524902,-6.79291296005249,6.79291296005249,113
24,21,2048,66,16,2,-7.75,-0.9661680459976196,-6.78383207321167,6.78383207321167,93
25,65,6174,66,16,2,-7.75,-0.9661680459976196,-6.78383207321167,6.78383207321167,93
26,92,8820,56,14,0,-5.71875,1.0429129600524902,-6.76166296005249,6.76166296005249,113
27,19,1986,66,16,2,-7.71875,-0.9661680459976196,-6.75258207321167,6.75258207321167,93
28,42,3819,56,14,0,-5.9375,0.7482866048812866,-6.685786724090576,6.685786724090576,95
29,17,1871,56,14,0,-5.59375,1.0795166492462158,-6.673266410827637,6.673266410827637,93
30,97,9378,56,14,0,-5.4375,1.1680748462677002,-6.605574607849121,6.605574607849121,36
31,75,6864,24,6,0,9.0625,2.4571733474731445,6.6053266525268555,6.6053266525268555,101
32,74,6771,24,6,0,9.0625,2.4571733474731445,6.6053266525268555,6.6053266525268555,101
33,21,2048,56,14,0,-5.34375,1.2608788013458252,-6.604628562927246,6.604628562927246,51
34,84,7920,56,14,0,-5.53125,1.0429129600524902,-6.57416296005249,6.57416296005249,113
