sample_id,eval_token_index,rmse,mae,max_abs_error,max_abs_error_channel,activation_l2,error_l2,relative_l2_error
0,143,0.2821657955646515,0.17853771150112152,6.386824607849121,56,21.53483772277832,14.27658462524414,0.6629529699284981
1,149,0.2775919735431671,0.1803782731294632,5.418074607849121,56,19.500423431396484,14.045166969299316,0.7202493329804326
2,159,0.2578136622905731,0.1783100962638855,3.9803266525268555,24,20.971511840820312,13.044455528259277,0.6220083524387928
3,181,0.28176456689834595,0.18279975652694702,4.3657965660095215,24,21.546051025390625,14.25628662109375,0.6616658711284792
4,267,0.2641158998012543,0.17634549736976624,4.260064125061035,2,18.866134643554688,13.363325119018555,0.7083234256246507
5,383,0.264725923538208,0.1805068552494049,3.448378801345825,56,21.13045883178711,13.394187927246094,0.6338806002213668
6,587,0.2915295362472534,0.17930570244789124,6.573378562927246,56,21.006145477294922,14.750357627868652,0.7021924914217121
7,717,0.28628870844841003,0.18069858849048615,7.79291296005249,56,21.03624153137207,14.48519229888916,0.6885827146112053
8,867,0.26836958527565,0.1788017749786377,4.870253562927246,56,20.729982376098633,13.578545570373535,0.6550196388989409
9,912,0.27777227759361267,0.18231746554374695,3.839003801345825,56,21.6998233795166,14.054288864135742,0.647668352794161
10,1013,0.2770721912384033,0.18163979053497314,4.371199607849121,56,20.400779724121094,14.018866539001465,0.68717307517546
11,1370,0.2839972972869873,0.18388210237026215,5.435786724090576,56,21.970903396606445,14.369253158569336,0.6540128505043067
12,1434,0.2980533838272095,0.18310794234275818,7.198378562927246,56,21.874752044677734,15.08044147491455,0.6893994246935347
13,1462,0.28585362434387207,0.181965172290802,6.048266410827637,56,21.61322784423828,14.463176727294922,0.6691817081431711
14,1599,0.2965531647205353,0.1826772540807724,5.623286724090576,56,21.398162841796875,15.004532814025879,0.7012065907227154
15,1654,0.28106963634490967,0.18142695724964142,4.808699607849121,56,20.657798767089844,14.221125602722168,0.6884143738188597
16,1721,0.2832832336425781,0.18281804025173187,6.560786724090576,56,21.852943420410156,14.333122253417969,0.6558897800481722
17,1871,0.30863144993782043,0.18128320574760437,6.673266410827637,56,22.114336013793945,15.615652084350586,0.7061325320647309
18,1976,0.2763248682022095,0.17966347932815552,4.9490766525268555,24,20.42626953125,13.981056213378906,0.6844644927449621
19,1986,0.3134174048900604,0.18345430493354797,6.75258207321167,66,22.544940948486328,15.857804298400879,0.7033863754460432
20,2026,0.29295748472213745,0.19108419120311737,5.205489158630371,66,25.299043655395508,14.82260799407959,0.5858959807327888
21,2048,0.30997902154922485,0.18478164076805115,6.78383207321167,66,22.49627685546875,15.683836936950684,0.6971747830858513
22,2163,0.27187466621398926,0.1805824339389801,5.779536724090576,56,21.918899536132812,13.755890846252441,0.6275812717502612
23,2282,0.27149152755737305,0.18418022990226746,4.985766410827637,56,22.614595413208008,13.736505508422852,0.6074176989432265
24,2388,0.28110408782958984,0.18716725707054138,4.576411724090576,56,22.27704620361328,14.222867965698242,0.6384539420397364
25,2454,0.2755221426486969,0.17966893315315247,7.167128562927246,56,21.208450317382812,13.940441131591797,0.6573059758244557
26,2516,0.2895357012748718,0.183057501912117,7.654536724090576,56,22.346107482910156,14.649477005004883,0.655571759699469
27,2519,0.26550453901290894,0.17783324420452118,4.748286724090576,56,18.571754455566406,13.433586120605469,0.7233342521701872
28,2550,0.29583659768104553,0.18427298963069916,7.810786724090576,56,21.793682098388672,14.968279838562012,0.6868173891399793
29,2579,0.2948997914791107,0.1814948320388794,6.967036724090576,56,21.50498390197754,14.920880317687988,0.6938335962351455
30,2841,0.2851839065551758,0.17863114178180695,6.793074607849121,56,19.31022834777832,14.42929458618164,0.7472358341035237
31,3109,0.287098228931427,0.18259139358997345,4.668074607849121,56,20.56497573852539,14.526147842407227,0.706353755389785
32,3113,0.27189111709594727,0.1830022633075714,5.260796546936035,3,22.853853225708008,13.756723403930664,0.6019432814268668
33,3179,0.2905048131942749,0.18410031497478485,6.199324607849121,56,22.49717140197754,14.69851303100586,0.6533493819455826
34,3217,0.30877503752708435,0.19192060828208923,5.97133207321167,66,23.644128799438477,15.622918128967285,0.6607525386741385
35,3286,0.2967272996902466,0.18243995308876038,6.26166296005249,56,21.327804565429688,15.013347625732422,0.7039331019596649
36,3341,0.27524760365486145,0.17597976326942444,6.467036724090576,56,19.987424850463867,13.926548957824707,0.6967655444368813
37,3343,0.296628475189209,0.1877058446407318,5.418074607849121,56,22.695669174194336,15.008346557617188,0.6612868050915253
38,3689,0.2983996868133545,0.1856958419084549,6.135878562927246,56,22.791824340820312,15.09796142578125,0.6624288253547435
39,3698,0.29836350679397583,0.18301768600940704,5.75258207321167,66,22.515642166137695,15.0961332321167,0.6704731368852745
40,3767,0.2857578694820404,0.18536394834518433,4.44051456451416,66,22.93727684020996,14.458331108093262,0.630342093737441
41,3777,0.29824310541152954,0.18826469779014587,5.90883207321167,66,22.476930618286133,15.09004020690918,0.6713567996972265
42,3819,0.3078278601169586,0.18743912875652313,6.685786724090576,56,22.1186466217041,15.574995040893555,0.7041567826130223
43,3841,0.294015109539032,0.1846161186695099,6.998286724090576,56,21.632083892822266,14.876118659973145,0.6876877296555411
44,3895,0.3001963198184967,0.1831522285938263,7.485766410827637,56,21.91617202758789,15.18886661529541,0.6930437759010011
45,4135,0.30497831106185913,0.18030013144016266,7.76166296005249,56,21.269060134887695,15.430815696716309,0.7255052926107017
46,4150,0.30943796038627625,0.18428078293800354,6.8553266525268555,24,22.695188522338867,15.656457901000977,0.6898580236771477
47,4265,0.298508882522583,0.1784503012895584,7.248286724090576,56,21.01319122314453,15.103484153747559,0.7187620382530069
48,4344,0.31419727206230164,0.18325182795524597,8.761663436889648,56,21.568443298339844,15.897263526916504,0.7370612383574359
49,4380,0.30294710397720337,0.18630942702293396,7.73041296005249,56,22.904390335083008,15.328044891357422,0.6692186374364751
50,4618,0.2967252731323242,0.18336153030395508,6.418074607849121,56,22.713768005371094,15.013243675231934,0.6609754784711094
51,4754,0.2987508475780487,0.18397846817970276,7.44916296005249,56,22.985403060913086,15.115731239318848,0.6576230662242901
52,5051,0.29190391302108765,0.18387877941131592,6.060786724090576,56,21.730947494506836,14.769301414489746,0.6796436933190851
53,5186,0.278896689414978,0.1811218112707138,5.560786724090576,56,22.005414962768555,14.11118221282959,0.6412595371050539
54,5259,0.2933219075202942,0.18831831216812134,6.498286724090576,56,23.021257400512695,14.841042518615723,0.64466689461911
55,5307,0.2778274118900299,0.18062978982925415,6.373286724090576,56,21.129987716674805,14.057079315185547,0.6652668001360149
56,5336,0.28195154666900635,0.1848606914281845,6.510878562927246,56,24.046035766601562,14.265745162963867,0.5932680671954291
57,5387,0.2906106412410736,0.18362221121788025,7.07416296005249,56,22.195608139038086,14.703864097595215,0.6624672775572101
58,5453,0.26273810863494873,0.17863722145557404,5.29291296005249,56,20.331768035888672,13.293615341186523,0.6538346944408014
59,5756,0.28736886382102966,0.1781734973192215,6.5428266525268555,24,22.01896095275879,14.539841651916504,0.6603327778777311
60,5817,0.31583431363105774,0.19148238003253937,8.029536247253418,56,24.27660369873047,15.980093955993652,0.6582508061796685
61,5897,0.26923373341560364,0.17518898844718933,5.2615766525268555,24,19.713228225708008,13.62226676940918,0.6910216131746697
62,6010,0.3083992600440979,0.18266910314559937,6.1678266525268555,24,22.449434280395508,15.603902816772461,0.695068865516978
63,6106,0.3180590569972992,0.1819513738155365,7.435786724090576,56,21.854625701904297,16.092660903930664,0.7363503325764318
64,6113,0.31857267022132874,0.18085423111915588,6.185786724090576,56,21.146947860717773,16.1186466217041,0.7622209468651425
65,6174,0.31863370537757874,0.1847267597913742,6.78383207321167,66,22.957422256469727,16.12173080444336,0.7022448175731065
66,6303,0.29825955629348755,0.17926642298698425,6.5428266525268555,24,21.37082290649414,15.09087085723877,0.7061436484344724
67,6359,0.29387667775154114,0.1815081685781479,6.0428266525268555,24,20.95444107055664,14.86911678314209,0.7095926220640111
68,6402,0.2881442904472351,0.18206502497196198,5.678580284118652,24,21.763797760009766,14.57907772064209,0.6698774672236041
69,6414,0.3128749132156372,0.1853054016828537,7.1053266525268555,24,23.206401824951172,15.830357551574707,0.6821547636288081
70,6493,0.29320961236953735,0.18008959293365479,6.1678266525268555,24,21.881933212280273,14.83536148071289,0.6779730719764374
71,6605,0.29277315735816956,0.18161329627037048,5.866080284118652,24,22.027341842651367,14.81328010559082,0.6724951295261593
72,6630,0.2729964852333069,0.18075957894325256,4.682753562927246,56,21.671297073364258,13.812650680541992,0.6373707412981217
73,6642,0.2882044017314911,0.17861203849315643,5.9178266525268555,24,20.935932159423828,14.582120895385742,0.6965116615942957
74,6771,0.2891983389854431,0.1785345822572708,6.6053266525268555,24,20.155696868896484,14.632406234741211,0.7259687586054835
75,6864,0.30128297209739685,0.1839277148246765,6.6053266525268555,24,22.130191802978516,15.243847846984863,0.6888258349813844
76,6903,0.2876169681549072,0.18078741431236267,6.2303266525268555,24,20.72466278076172,14.552395820617676,0.7021776891890549
77,6929,0.2899676561355591,0.1824023574590683,6.199324607849121,56,21.2207088470459,14.671330451965332,0.6913685380499297
78,6934,0.2970260977745056,0.17885026335716248,6.0428266525268555,24,21.90961456298828,15.028462409973145,0.6859300224916139
79,7027,0.29909271001815796,0.18708941340446472,5.342036724090576,56,22.48337745666504,15.133026123046875,0.6730761938331821
