channel,tile_id,tile_offset,rmse,mae,max_abs_error,mean_abs_activation,p99_abs_activation
0,0,0,0.2537286579608917,0.2537287175655365,0.25413215160369873,0.0007201385451480746,0.00092315673828125
1,0,1,2.2301034927368164,1.9744572639465332,4.240682125091553,1.5085840225219727,3.5015628337860107
2,0,2,0.9242305159568787,0.696605384349823,4.260064125061035,0.7390307784080505,3.122659206390381
3,0,3,1.3453764915466309,1.0800894498825073,5.260796546936035,1.118841528892517,3.97922420501709
4,1,0,0.7932825684547424,0.686363935470581,2.2611300945281982,0.0006730079767294228,0.0009042358724400401
5,1,1,1.3758126497268677,1.0513674020767212,3.5073816776275635,1.7856652736663818,4.625312805175781
6,1,2,0.5471741557121277,0.4220111072063446,1.3836596012115479,0.42384621500968933,1.580312967300415
7,1,3,0.6708821654319763,0.5071715712547302,1.7150280475616455,1.0923501253128052,5.381876468658447
8,2,0,0.5862480401992798,0.479678750038147,1.2716431617736816,0.7945812940597534,1.9846875667572021
9,2,1,0.4423454999923706,0.3694188594818115,1.019221305847168,0.4403671324253082,1.276172399520874
10,2,2,0.6724396347999573,0.5731260180473328,1.2874771356582642,0.4376806616783142,1.4147658348083496
11,2,3,0.5782710313796997,0.48375263810157776,1.262955904006958,0.5473821759223938,1.4611718654632568
12,3,0,0.45072662830352783,0.3532792925834656,1.2174508571624756,0.530077338218689,1.5249221324920654
13,3,1,0.45103973150253296,0.36884012818336487,1.238279104232788,0.47890639305114746,1.7842193841934204
14,3,2,0.5222087502479553,0.4686172604560852,0.9465615749359131,0.2504574656486511,0.8363282084465027
15,3,3,0.5034034252166748,0.4260823130607605,1.1153020858764648,0.5987133979797363,1.7367192506790161
16,4,0,0.6920605301856995,0.5418418645858765,2.122776508331299,0.47406983375549316,1.3213284015655518
17,4,1,1.3374934196472168,1.08492910861969,3.311619758605957,0.8291466236114502,2.5485939979553223
18,4,2,0.707097053527832,0.5935078263282776,1.6847385168075562,0.42282426357269287,1.2976564168930054
19,4,3,1.1013298034667969,0.9556143879890442,2.0426788330078125,1.1934423446655273,2.2817187309265137
20,5,0,1.699110984802246,1.5560204982757568,3.0753579139709473,0.6368736028671265,1.6757820844650269
21,5,1,0.9106580018997192,0.7354968786239624,2.28125,0.5172485113143921,1.4478130340576172
22,5,2,1.0211278200149536,0.8459181785583496,2.2977213859558105,0.9450750946998596,3.4800024032592773
23,5,3,0.9604339003562927,0.7941430807113647,2.399874210357666,1.9197266101837158,4.3471879959106445
24,6,0,3.9409193992614746,3.4350671768188477,7.241080284118652,5.491015434265137,9.566250801086426
25,6,1,1.0266190767288208,0.8259831070899963,2.746514320373535,0.9556419253349304,3.0626564025878906
26,6,2,1.3946582078933716,1.1783274412155151,3.018756151199341,0.8673529028892517,2.953125
27,6,3,0.7223084568977356,0.5711557865142822,1.8945157527923584,0.357438862323761,0.9262892007827759
28,7,0,0.5725997090339661,0.47713759541511536,1.1994037628173828,0.579011857509613,1.7589081525802612
29,7,1,0.5503929257392883,0.4498194754123688,1.1556906700134277,0.4486408233642578,1.3606252670288086
30,7,2,0.6538787484169006,0.5461469292640686,1.5193337202072144,0.9437243938446045,2.767031669616699
31,7,3,0.6071498990058899,0.504351019859314,1.273814082145691,0.45046815276145935,1.8064066171646118
32,8,0,0.9702370762825012,0.829189121723175,1.852341651916504,0.34481629729270935,0.9492968916893005
33,8,1,0.7101993560791016,0.5978953838348389,1.6715397834777832,0.4227673411369324,1.2192188501358032
34,8,2,0.7935624718666077,0.6627868413925171,1.7494299411773682,0.7389807105064392,1.8220316171646118
35,8,3,0.9848675727844238,0.8690395355224609,2.0330636501312256,0.5205920338630676,2.1254687309265137
36,9,0,0.38516494631767273,0.31679511070251465,0.9032360315322876,0.3841160535812378,1.0404690504074097
37,9,1,0.36280712485313416,0.28718531131744385,0.8396238088607788,0.47495025396347046,1.408125400543213
