model,method,ncentroid,vec_len,compensation_ratio,mode,nll,d_ppl,tokens,dense_nll,dense_d_ppl,delta_nll,d_ppl_increase_pct,source
Qwen3.5-4B,pimdl_lut_plus_online_compensation,128,16,0.0,isolated,6.212614522079402,499.0042047553292,1024,1.969975832550496,7.170503193478727,4.242638689528906,6859.123945571249,serialization_dir/qwen35_dppl_ratio_sweep/pimdl_v16_c128_comp00_abs_isolated_w2.json
Qwen3.5-4B,pimdl_lut_plus_online_compensation,128,16,0.0,pathwise,7.847349339395805,2558.9424314285216,1024,1.969975832550496,7.170503193478727,5.877373506845309,35587.06912725139,serialization_dir/qwen35_dppl_ratio_sweep/pimdl_v16_c128_comp00_abs_pathwise_w2.json
Qwen3.5-4B,pimdl_lut_plus_online_compensation,128,16,0.02,isolated,4.491347043708757,89.24157725458676,1024,1.969975832550496,7.170503193478727,2.521371211158261,1144.565058359478,serialization_dir/qwen35_dppl_ratio_sweep/pimdl_v16_c128_comp02_abs_isolated_w2.json
Qwen3.5-4B,pimdl_lut_plus_online_compensation,128,16,0.02,pathwise,5.654056424338638,285.44701475906305,1024,1.969975832550496,7.170503193478727,3.684080591788142,3880.8505352687826,serialization_dir/qwen35_dppl_ratio_sweep/pimdl_v16_c128_comp02_abs_pathwise_w2.json
Qwen3.5-4B,pimdl_lut_plus_online_compensation,128,16,0.05,isolated,3.6514344075436034,38.529894000476155,1024,1.969975832550496,7.170503193478727,1.6814585749931075,437.33877471134076,serialization_dir/qwen35_dppl_ratio_sweep/pimdl_v16_c128_comp05_abs_isolated_w2.json
Qwen3.5-4B,pimdl_lut_plus_online_compensation,128,16,0.05,pathwise,4.687167737102136,108.54531516753163,1024,1.969975832550496,7.170503193478727,2.7171919045516404,1413.7754246626519,serialization_dir/qwen35_dppl_ratio_sweep/pimdl_v16_c128_comp05_abs_pathwise_w2.json
Qwen3.5-4B,pimdl_lut_plus_online_compensation,128,16,0.1,isolated,3.0167792441159405,20.42540040275428,1024,1.969975832550496,7.170503193478727,1.0468034115654445,184.8530967998219,serialization_dir/qwen35_dppl_ratio_sweep/pimdl_v16_c128_comp10_abs_isolated_w2.json
Qwen3.5-4B,pimdl_lut_plus_online_compensation,128,16,0.1,pathwise,3.6828402911876115,39.75916144655654,1024,1.969975832550496,7.170503193478727,1.7128644586371156,454.48216636617406,serialization_dir/qwen35_dppl_ratio_sweep/pimdl_v16_c128_comp10_abs_pathwise_w2.json
Qwen3.5-4B,pimdl_lut_plus_online_compensation,128,16,0.2,isolated,2.454007617795475,11.63488156841735,1024,1.969975832550496,7.170503193478727,0.48403178524497914,62.26032196734516,serialization_dir/qwen35_dppl_ratio_sweep/pimdl_v16_c128_comp20_abs_isolated_w2.json
Qwen3.5-4B,pimdl_lut_plus_online_compensation,128,16,0.2,pathwise,2.6350662462474244,13.944236185886457,1024,1.969975832550496,7.170503193478727,0.6650904136969285,94.46663378614986,serialization_dir/qwen35_dppl_ratio_sweep/pimdl_v16_c128_comp20_abs_pathwise_w2.json
Qwen3.5-4B,pimdl_lut_plus_online_compensation,128,16,0.3,isolated,2.196329707730088,8.991949776032405,1024,1.969975832550496,7.170503193478727,0.22635387517959193,25.401935309229163,serialization_dir/qwen35_dppl_ratio_sweep/pimdl_v16_c128_comp30_abs_isolated_w2.json
Qwen3.5-4B,pimdl_lut_plus_online_compensation,128,16,0.3,pathwise,2.2689316325638895,9.669065179552799,1024,1.969975832550496,7.170503193478727,0.2989558000133936,34.845002068284536,serialization_dir/qwen35_dppl_ratio_sweep/pimdl_v16_c128_comp30_abs_pathwise_w2.json
Qwen3.5-4B,pimdl_lut_plus_online_compensation,128,16,0.4,isolated,2.097811536065366,8.148318085394793,1024,1.969975832550496,7.170503193478727,0.12783570351487006,13.636628637239113,serialization_dir/qwen35_dppl_ratio_sweep/pimdl_v16_c128_comp40_abs_isolated_w2.json
Qwen3.5-4B,pimdl_lut_plus_online_compensation,128,16,0.4,pathwise,2.101361474053194,8.177295512907133,1024,1.969975832550496,7.170503193478727,0.13138564150269794,14.040748497874468,serialization_dir/qwen35_dppl_ratio_sweep/pimdl_v16_c128_comp40_abs_pathwise_w2.json
Qwen3.5-4B,pimdl_lut_plus_online_compensation,128,16,0.5,isolated,2.0218027406254704,7.55192683493413,1024,1.969975832550496,7.170503193478727,0.051826908074974476,5.319342745740507,serialization_dir/qwen35_dppl_ratio_sweep/pimdl_v16_c128_comp50_abs_isolated_w2.json
Qwen3.5-4B,pimdl_lut_plus_online_compensation,128,16,0.5,pathwise,2.0356406729497927,7.657156287234569,1024,1.969975832550496,7.170503193478727,0.06566484039929676,6.786875071730414,serialization_dir/qwen35_dppl_ratio_sweep/pimdl_v16_c128_comp50_abs_pathwise_w2.json
