tile_size_v,trial,mean_share,mean_share_percent,median_share,median_share_percent
4,0,0.0011752904392778873,0.11752904392778873,0.0008488945313729346,0.08488945313729346
4,1,0.0011458987137302756,0.11458987137302756,0.0008557304390706122,0.08557304390706122
4,2,0.0011709906393662095,0.11709906393662095,0.0008444059640169144,0.08444059640169144
4,3,0.001159176230430603,0.1159176230430603,0.0008569973870180547,0.08569973870180547
4,4,0.0012136383447796106,0.12136383447796106,0.0009003276354633272,0.09003276354633272
4,5,0.0011514653451740742,0.11514653451740742,0.0008416181663051248,0.08416181663051248
4,6,0.0012224954552948475,0.12224954552948475,0.0009371272171847522,0.09371272171847522
4,7,0.001163286855444312,0.11632868554443121,0.0008752050343900919,0.08752050343900919
4,8,0.0011575000826269388,0.11575000826269388,0.0008333499426953495,0.08333499426953495
4,9,0.0011712126433849335,0.11712126433849335,0.0008825200493447483,0.08825200493447483
4,10,0.0011826356640085578,0.11826356640085578,0.0008821483352221549,0.08821483352221549
4,11,0.0011676207650452852,0.11676207650452852,0.0008241278701461852,0.08241278701461852
4,12,0.0011352242436259985,0.11352242436259985,0.0008552037179470062,0.08552037179470062
4,13,0.0011720397742465138,0.11720397742465138,0.0008700222242623568,0.08700222242623568
4,14,0.0012129988754168153,0.12129988754168153,0.0008999579004012048,0.08999579004012048
4,15,0.0011256829602643847,0.11256829602643847,0.0008372143493033946,0.08372143493033946
4,16,0.0011522334534674883,0.11522334534674883,0.0008610400836914778,0.08610400836914778
4,17,0.001165974186733365,0.1165974186733365,0.0008714040159247816,0.08714040159247816
4,18,0.0011447310680523515,0.11447310680523515,0.0008810171275399625,0.08810171275399625
4,19,0.0011455412022769451,0.11455412022769451,0.0008222198812291026,0.08222198812291026
4,20,0.0011742666829377413,0.11742666829377413,0.0008658272563479841,0.08658272563479841
4,21,0.0011566928587853909,0.11566928587853909,0.0008535064989700913,0.08535064989700913
4,22,0.0012028418714180589,0.12028418714180589,0.0008965876768343151,0.0896587676834315
4,23,0.0010963843669742346,0.10963843669742346,0.0008157603442668915,0.08157603442668915
4,24,0.0010977075435221195,0.10977075435221195,0.0007956263143569231,0.07956263143569231
4,25,0.0011863915715366602,0.11863915715366602,0.0008646287024021149,0.08646287024021149
4,26,0.0011788574047386646,0.11788574047386646,0.0008898103842511773,0.08898103842511773
4,27,0.001174225122667849,0.1174225122667849,0.0008808720158413053,0.08808720158413053
4,28,0.0011454857885837555,0.11454857885837555,0.0008485896978527308,0.08485896978527308
4,29,0.0011692974949255586,0.11692974949255586,0.0008433691109530628,0.08433691109530628
4,30,0.001180319464765489,0.11803194647654891,0.0008677548030391335,0.08677548030391335
4,31,0.001108668395318091,0.11086683953180909,0.0008194462861865759,0.08194462861865759
4,32,0.0011572331422939897,0.11572331422939897,0.0008369939750991762,0.08369939750991762
4,33,0.0011099096154794097,0.11099096154794097,0.000830756442155689,0.0830756442155689
4,34,0.0011383865494281054,0.11383865494281054,0.0008566796313971281,0.08566796313971281
4,35,0.0011850434821099043,0.11850434821099043,0.0008683615596964955,0.08683615596964955
4,36,0.0011717744637280703,0.11717744637280703,0.0008296143496409059,0.08296143496409059
4,37,0.0011771649587899446,0.11771649587899446,0.0008532945066690445,0.08532945066690445
4,38,0.0010975201148539782,0.10975201148539782,0.0008083611610345542,0.08083611610345542
4,39,0.0012362394481897354,0.12362394481897354,0.0008832261082716286,0.08832261082716286
4,40,0.0011895963689312339,0.11895963689312339,0.0008894221391528845,0.08894221391528845
4,41,0.0011951432097703218,0.11951432097703218,0.000869077630341053,0.0869077630341053
4,42,0.001179036684334278,0.11790366843342781,0.0008685999782755971,0.08685999782755971
4,43,0.0011934384237974882,0.11934384237974882,0.0008552130893804133,0.08552130893804133
4,44,0.0011895333882421255,0.11895333882421255,0.0008951942436397076,0.08951942436397076
4,45,0.0011600740253925323,0.11600740253925323,0.0008338289335370064,0.08338289335370064
4,46,0.001141524058766663,0.11415240587666631,0.0008469172171317041,0.08469172171317041
4,47,0.0011606798507273197,0.11606798507273197,0.000851836521178484,0.0851836521178484
4,48,0.001194162294268608,0.11941622942686081,0.0008657093858346343,0.08657093858346343
