tile_size_v,num_tiles,tokens,channels_d,weight_definition,measured_mean_share,measured_mean_share_percent,measured_median_share,measured_median_share_percent,measured_p10_share_percent,measured_p90_share_percent,random_trials,random_mean_share,random_mean_share_percent,random_mean_share_std_percent,random_median_share,random_median_share_percent,random_median_share_std_percent,theoretical_pair_fraction,theoretical_pair_fraction_percent,ideal_share_percent,best_effort_greedy_mean_share,best_effort_greedy_mean_share_percent,best_effort_greedy_median_share,best_effort_greedy_median_share_percent
4,640,100000,2560,corr_squared,0.001455644378438592,0.1455644378438592,0.0010045950766652822,0.10045950766652822,0.024134511477313936,0.29239251744002104,100,0.0011713230051100254,0.11713230051100254,0.0031662322726333514,0.0008648822549730539,0.0864882254973054,0.002794962165353354,0.0011723329425556857,0.11723329425556857,100.0,0.00876749400049448,0.876749400049448,0.007344178855419159,0.7344178855419159
8,320,100000,2560,corr_squared,0.003418195992708206,0.3418195992708206,0.0025946935638785362,0.2594693563878536,0.10721838334575295,0.5818737670779228,100,0.0027375288773328066,0.27375288773328066,0.004790462480741553,0.0023807031102478504,0.23807031102478504,0.004789422018802725,0.0027354435326299334,0.2735443532629933,100.0,0.013513865880668163,1.3513865880668163,0.011126413010060787,1.1126413010060787
16,160,100000,2560,corr_squared,0.0071672918274998665,0.7167291827499866,0.005637846887111664,0.5637846887111664,0.3196914214640856,1.1417488567531109,100,0.005857713054865599,0.5857713054865599,0.0061645027017220855,0.005456372629851103,0.5456372629851103,0.006695682532154024,0.005861664712778429,0.5861664712778429,100.0,0.019770096987485886,1.9770096987485886,0.01625997945666313,1.6259979456663132
32,80,100000,2560,corr_squared,0.014740397222340107,1.4740397222340107,0.011635323986411095,1.1635323986411095,0.7874521426856518,2.2248204797506332,100,0.012121247127652168,1.2121247127652168,0.008589203207520768,0.011665575206279755,1.1665575206279755,0.009120447066379711,0.01211410707307542,1.211410707307542,100.0,0.02988065406680107,2.988065406680107,0.024223092943429947,2.4223092943429947
