label,K,V,module_name,error_tokens,outlier_quantile,mean_residual_mse,mean_projected_error,top1pct_outlier_projected_error_share,top5pct_outlier_projected_error_share,top1pct_error_channels_projected_error_share,top5pct_error_channels_projected_error_share,spearman_outlier_vs_projected_error
fast,4,128,model.layers.18.mlp.up_proj,10000,0.99,0.43072327971458435,1.240962266921997,0.10605882658531268,0.26792049572896937,0.2915098583024404,0.41032726162739896,0.5825784802436829
low_middle,64,32,model.layers.18.mlp.up_proj,10000,0.99,0.3347074091434479,1.1836626529693604,0.09863962575986357,0.2690632507340108,0.21427639121231964,0.3436430813973022,0.5762062668800354
middle,32,8,model.layers.18.mlp.up_proj,10000,0.99,0.2609226703643799,0.9138731956481934,0.08947456367781163,0.21247160885996627,0.147049552029161,0.26828945109679936,0.40434324741363525
quality,128,4,model.layers.18.mlp.up_proj,10000,0.99,0.0841510072350502,0.2810429036617279,0.14013411881816054,0.26194173820818384,0.19070593276400996,0.3141764693207228,0.4047641456127167
expensive,512,4,model.layers.18.mlp.up_proj,10000,0.99,0.053311754018068314,0.1503872573375702,0.19470344452893557,0.32328522836023316,0.2583277799343136,0.3781848482453624,0.4167760908603668
