tile_size_v,slice_start,slice_width,abs_corr_threshold,is_valid_even_tiling,num_tiles,mean_tile_internal_cooccurrence_count_share,weighted_tile_internal_cooccurrence_count_share,mean_tile_internal_cooccurrence_energy_share,weighted_tile_internal_cooccurrence_energy_share,mean_tile_internal_cooccurrence_count_share_percent,weighted_tile_internal_cooccurrence_count_share_percent,mean_tile_internal_cooccurrence_energy_share_percent,weighted_tile_internal_cooccurrence_energy_share_percent,mean_internal_cooccurrence_count,mean_cross_cooccurrence_count_touching_tile,mean_total_cooccurrence_count_touching_tile,total_internal_cooccurrence_count,total_cross_cooccurrence_count_touching_tiles,total_cooccurrence_count_touching_tiles,total_internal_cooccurrence_energy,total_cross_cooccurrence_energy_touching_tiles,total_cooccurrence_energy_touching_tiles
2,0,2560,0.0,True,1280,0.00019542700801250735,0.00019542700801250732,0.00023921756604819005,0.00034990201653204713,0.019542700801250736,0.019542700801250732,0.023921756604819006,0.03499020165320471,1.0,5116.0,5117.0,1280,6548480,6549760,1.7253189547365242,4929.137817635687,4930.863136590424
2,0,2560,0.01,True,1280,0.00020148673566623048,0.0002020132955827462,0.00023955823047249426,0.00035243387083140317,0.020148673566623046,0.02020132955827462,0.023955823047249428,0.035243387083140315,0.7109375,3518.55,3519.2609375,910,4503744,4504654,1.7143904879910534,4862.717294090877,4864.431684578867
2,0,2560,0.02,True,1280,0.00020181929240150847,0.00020557373908494932,0.0002384533557935055,0.0003658419192026182,0.02018192924015085,0.020557373908494932,0.023845335579350552,0.03658419192026182,0.44765625,2177.146875,2177.59453125,573,2786748,2787321,1.6372528946986218,4473.664260576326,4475.301513471025
2,0,2560,0.05,True,1280,0.0001783902817736924,0.00027000834132911603,0.00020946804383262458,0.0005612825381933783,0.01783902817736924,0.027000834132911603,0.020946804383262456,0.05612825381933783,0.0875,323.9765625,324.0640625,112,414690,414802,1.1348974403209635,2020.8368602664152,2021.9717577067363
2,0,2560,0.1,True,1280,0.07916918730047075,0.001107797187899446,0.07914492437469849,0.0017340184440536176,7.916918730047075,0.1107797187899446,7.914492437469849,0.17340184440536177,0.0203125,18.315625,18.3359375,26,23444,23470,0.7376203263875951,424.6444330866423,425.38205341303
4,0,2560,0.0,True,640,0.0005865102639296188,0.0005865102639296188,0.0007089330669180186,0.0009687933131626151,0.05865102639296188,0.05865102639296188,0.07089330669180186,0.09687933131626152,6.0,10224.0,10230.0,3840,6543360,6547200,4.774033660428225,4923.040388224303,4927.814421884731
4,0,2560,0.01,True,640,0.0006020194913771801,0.0006031738135508904,0.0007095904613243214,0.0009745964842763153,0.060201949137718015,0.060317381355089045,0.07095904613243213,0.09745964842763154,4.24375,7031.45625,7035.7,2716,4500132,4502848,4.7379113050344515,4856.67025245679,4861.408163761824
4,0,2560,0.02,True,640,0.0006184972006693634,0.0006273899501318309,0.0007110433799252809,0.0010101270843714451,0.061849720066936335,0.06273899501318309,0.07110433799252809,0.10101270843714452,2.73125,4350.621875,4353.353125,1748,2784398,2786146,4.517713638073251,4467.903339089577,4472.42105272765
4,0,2560,0.05,True,640,0.0006199187446138258,0.0008201189654922884,0.0006698587217819762,0.0014929977846865731,0.06199187446138258,0.08201189654922884,0.06698587217819761,0.1492997784686573,0.53125,647.240625,647.771875,340,414234,414574,3.0159908866068803,2017.0746733738436,2020.0906642604502
4,0,2560,0.1,True,640,0.009919920519743617,0.0025173870375901353,0.009884325082781805,0.004090969156968456,0.9919920519743617,0.2517387037590135,0.9884325082781805,0.40909691569684564,0.0921875,36.528125,36.6203125,59,23378,23437,1.7361399474681458,422.6473938444813,424.38353379194945
8,0,2560,0.0,True,320,0.0013695949911954608,0.0013695949911954608,0.0016810001760888804,0.002346838830407748,0.13695949911954608,0.13695949911954608,0.16810001760888804,0.2346838830407748,28.0,20416.0,20444.0,8960,6533120,6542080,11.5488867460308,4909.490682053099,4921.0395687991295
8,0,2560,0.01,True,320,0.0013897042047095784,0.001392439133296098,0.0016819874704234786,0.00236105293841681,0.13897042047095784,0.1392439133296098,0.16819874704234786,0.23610529384168102,19.578125,14040.73125,14060.309375,6265,4493034,4499299,11.462165709273535,4843.221743648311,4854.683909357585
8,0,2560,0.02,True,320,0.001442407349170264,0.0014591397756761183,0.001691618653616596,0.0024548018182100795,0.1442407349170264,0.14591397756761182,0.16916186536165959,0.24548018182100795,12.69375,8686.78125,8699.475,4062,2779770,2783832,10.963085222153234,4455.0125959214165,4465.97568114357
8,0,2560,0.05,True,320,0.001450839626773208,0.0018786099252419495,0.001624471072661297,0.0037115497340310015,0.1450839626773208,0.18786099252419494,0.1624471072661297,0.37115497340310016,2.43125,1291.74375,1294.175,778,413358,414136,7.481094513475658,2008.1444661201062,2015.6255606335817
8,0,2560,0.1,True,320,0.0011258663862847584,0.005908040071923966,0.0012358787547733544,0.011043694666756103,0.11258663862847584,0.5908040071923966,0.12358787547733545,1.1043694666756103,0.43125,72.5625,72.99375,138,23220,23358,4.654532334358657,416.8106090707003,421.465141405059
16,0,2560,0.0,True,160,0.002939447383891829,0.0029394473838918285,0.0035717526385294503,0.004741760857966705,0.2939447383891829,0.29394473838918284,0.357175263852945,0.4741760857966705,120.0,40704.0,40824.0,19200,6512640,6531840,23.27877249472548,4886.030910555708,4909.309683050435
16,0,2560,0.01,True,160,0.0029652732881784707,0.002971138749530577,0.003573279783676715,0.0047678331358564,0.29652732881784705,0.2971138749530577,0.3573279783676715,0.47678331358563997,83.41875,27992.9375,28076.35625,13347,4478870,4492217,23.090879042386984,4819.964316982085,4843.055196024471
